timestamp,home_goals,away_goals,odd_1,odd_x,odd_2,odd_u,odd_o
2026-08-27 19:04,2,1,2.13,3.1,3.05,1.44,2.29
2026-08-27 19:04,1,1,2.4,3.05,2.67,1.4,2.42
2026-08-27 19:04,1,2,2.09,3.15,3.1,1.46,2.25
2026-08-27 19:04,0,1,2.49,2.99,2.6,1.37,2.5
2026-08-27 19:04,1,4,2.24,3.2,2.78,1.51,2.14
2026-08-27 19:04,0,3,2.52,3.2,2.45,1.52,2.11
2026-08-27 19:04,1,2,2.1,3.2,3.0,1.51,2.13
2026-08-27 19:04,1,2,2.4,3.05,2.67,1.4,2.42
2026-08-27 19:04,1,0,2.43,2.95,2.71,1.34,2.6
2026-08-27 19:04,1,1,1.98,3.25,3.25,1.51,2.13
2026-08-27 19:04,2,0,2.06,3.05,3.3,1.37,2.52
2026-08-27 19:04,0,1,2.26,2.97,2.94,1.34,2.59
2026-08-27 19:04,3,1,1.84,3.25,3.7,1.47,2.21
2026-08-27 19:04,0,0,2.48,3.05,2.56,1.43,2.33
2026-08-27 19:04,1,2,2.76,3.05,2.33,1.4,2.41
2026-08-27 19:04,0,0,2.58,3.05,2.49,1.4,2.42
2026-08-27 19:04,0,1,2.42,2.95,2.72,1.34,2.59
2026-08-27 19:04,1,1,2.25,3.1,2.83,1.45,2.27
2026-08-27 19:04,0,0,2.4,3.1,2.62,1.45,2.27
2026-08-27 19:04,3,3,2.48,3.05,2.56,1.43,2.33
2026-08-27 19:04,3,2,2.0,3.15,3.3,1.44,2.29
2026-08-27 19:04,0,1,2.94,3.15,2.17,1.46,2.25
2026-08-27 19:04,1,2,2.76,3.05,2.33,1.4,2.41
2026-08-27 19:04,3,1,2.03,3.2,3.15,1.49,2.19
2026-08-27 19:04,0,0,2.24,3.1,2.84,1.45,2.27
2026-08-27 19:04,2,1,2.48,3.05,2.56,1.43,2.33
2026-08-27 19:04,1,0,1.88,3.2,3.6,1.45,2.27
2026-08-27 19:04,1,0,2.52,2.91,2.64,1.32,2.7
2026-08-27 19:04,3,2,2.24,3.1,2.84,1.45,2.27
2026-08-27 19:04,2,1,2.31,3.15,2.71,1.48,2.19
2026-08-27 19:04,1,2,2.15,3.25,2.89,1.55,2.06
2026-08-27 19:04,2,0,2.55,3.1,2.46,1.46,2.26
2026-08-27 19:04,1,1,2.76,3.05,2.33,1.4,2.41
2026-08-27 19:04,2,1,2.42,2.95,2.72,1.34,2.59
2026-08-27 19:04,1,2,2.76,3.05,2.33,1.4,2.41
2026-08-27 19:04,0,0,2.32,3.05,2.75,1.42,2.34
2026-08-27 19:04,3,0,2.54,3.1,2.47,1.46,2.25
2026-08-27 19:04,0,2,2.41,3.05,2.67,1.39,2.43
2026-08-27 19:04,2,1,1.89,3.25,3.5,1.51,2.15
2026-08-27 19:04,0,2,2.3,3.2,2.68,1.55,2.07
2026-08-27 19:04,0,3,2.66,3.05,2.39,1.43,2.33
2026-08-27 19:04,1,0,2.64,3.15,2.37,1.48,2.19
2026-08-27 19:04,0,0,2.12,3.05,3.1,1.39,2.43
2026-08-27 19:04,1,2,2.16,3.15,2.92,1.48,2.19
2026-08-27 19:04,2,1,2.76,3.05,2.33,1.4,2.41
2026-08-27 19:04,2,1,2.41,3.05,2.67,1.39,2.43
2026-08-27 19:04,1,2,2.39,3.05,2.68,1.4,2.41
2026-08-27 19:04,0,6,2.57,3.05,2.5,1.4,2.41
2026-08-27 19:04,0,2,2.85,3.1,2.25,1.43,2.33
2026-08-27 19:04,1,1,2.62,3.2,2.34,1.55,2.07
2026-08-27 19:04,1,0,2.1,3.15,3.05,1.46,2.26
2026-08-27 19:04,3,1,2.0,3.15,3.3,1.45,2.28
2026-08-27 19:04,2,2,2.04,3.2,3.15,1.48,2.19
2026-08-27 19:04,5,0,1.98,3.1,3.4,1.4,2.41
2026-08-27 19:04,0,1,2.39,3.1,2.62,1.45,2.27
2026-08-27 19:04,1,0,2.61,3.2,2.35,1.55,2.06
2026-08-27 19:04,1,3,1.99,3.25,3.25,1.51,2.14
2026-08-27 19:04,1,2,2.73,3.1,2.31,1.46,2.25
2026-08-27 19:04,1,0,1.99,3.15,3.3,1.45,2.27
2026-08-27 19:04,2,1,2.04,3.05,3.3,1.37,2.5
2026-08-27 19:04,2,1,2.17,3.15,2.92,1.48,2.2
2026-08-27 19:04,2,1,2.31,3.15,2.71,1.48,2.19
2026-08-27 19:04,2,1,2.39,3.05,2.68,1.4,2.41
2026-08-27 19:04,2,1,2.13,3.05,3.1,1.39,2.44
2026-08-27 19:04,1,3,2.7,3.2,2.3,1.52,2.11
2026-08-27 19:04,1,0,2.57,3.05,2.5,1.4,2.41
2026-08-27 19:04,1,0,2.07,3.1,3.2,1.41,2.37
2026-08-27 19:04,2,2,1.84,3.25,3.7,1.48,2.21
2026-08-27 19:04,1,1,2.62,3.15,2.37,1.49,2.19
